Run,PL,PF,Vr0,Kw_bar,Ta,Tb,k1_bar,K2,T1,T2,T3,T4,Fitness
1,0.62,0.76,1,0.15846,0.03709,0.001,0.22154,0.79818,0.001,0.078434,0.001,0.1,9.00E+08
1,0.62,0.77,1,0.38122,0.074778,0.0025173,0.12986,0.74986,0.084542,0.010076,0.01841,0.085081,9.00E+08
1,0.62,0.78,1,0.17394,0.01476,0.071048,0.11563,0.89787,0.028068,0.071848,0.03032,0.08142,8.00E+08
1,0.62,0.79,1,0.8904,0.079585,0.047668,0.30641,0.83138,0.051232,0.027399,0.042623,0.095742,9.00E+08
1,0.62,0.8,1,0.59254,0.001,0.001,0.1,0.70101,0.1,0.04684,0.001,0.1,9.00E+08
1,0.62,0.81,1,0.31282,0.070145,0.016702,0.57595,0.80323,0.0084189,0.063395,0.013979,0.062965,9.00E+08
1,0.62,0.82,1,0.869,0.0082105,0.097728,0.37934,0.87882,0.080438,0.029971,0.015835,0.039568,8.00E+08
1,0.62,0.83,1,0.26522,0.034821,0.066616,0.18141,0.78055,0.0049165,0.013246,0.020874,0.094352,9.00E+08
1,0.62,0.84,1,0.6888,0.096305,0.055148,0.11506,0.83868,0.026196,0.089187,0.027182,0.087558,9.00E+08
1,0.62,0.85,1,0.53712,0.041558,0.045417,0.44377,0.74118,0.036559,0.076247,0.012754,0.098723,9.00E+08
1,0.62,0.86,1,0.44375,0.042357,0.077091,0.6609,0.22479,0.010333,0.032482,0.050163,0.074242,8.00E+08
1,0.62,0.87,1,0.27247,0.06595,0.01763,0.10277,0.73684,0.07598,0.026614,0.037085,0.099688,8.00E+08
1,0.62,0.88,1,0.69112,0.097765,0.035475,0.3298,0.78628,0.01538,0.014615,0.042319,0.082249,8.00E+08
1,0.62,0.89,1,0.46919,0.09866,0.012201,0.71887,0.72173,0.0044816,0.084231,0.017351,0.095703,9.00E+08
1,0.62,0.9,1,0.8424,0.070259,0.032439,1,0.1625,0.1,0.0088927,0.044027,0.037921,8.00E+08
1,0.62,0.91,1,0.38231,0.001,0.1,0.85523,0.89043,0.010755,0.1,0.029857,0.1,8.00E+08
1,0.62,0.92,1,0.54555,0.023391,0.046372,0.75351,0.1,0.001,0.023131,0.087195,0.059713,8.00E+08
1,0.62,0.93,1,0.65742,0.049983,0.074854,0.5066,0.76465,0.014273,0.060176,0.0062425,0.094469,9.00E+08
1,0.62,0.94,1,0.48866,0.1,0.0049063,0.35155,0.72145,0.001,0.039811,0.001,0.096731,9.00E+08
1,0.62,0.95,1,0.69689,0.099857,0.0052824,0.52549,0.2124,0.027634,0.080433,0.04812,0.084219,8.00E+08
1,0.63,0.75,1,0.3544,0.06679,0.088861,0.60337,0.86195,0.055679,0.058313,0.053514,0.092166,9.00E+08
1,0.63,0.76,1,0.78301,0.08372,0.01857,0.31807,0.7955,0.0084527,0.071796,0.0036647,0.068217,9.00E+08
1,0.63,0.77,1,0.35,0.0635,0.1,0.23961,0.70439,0.034589,0.1,0.001,0.1,9.00E+08
1,0.63,0.78,1,0.36775,0.090695,0.044844,0.39923,0.34445,0.067308,0.075708,0.012742,0.074739,8.00E+08
1,0.63,0.79,1,0.2207,0.0082793,0.023393,0.28871,0.80804,0.057608,0.026857,0.033662,0.092987,9.00E+08
1,0.63,0.8,1,0.1,0.0066057,0.030685,0.13307,0.71757,0.094696,0.05475,0.012458,0.080934,9.00E+08
1,0.63,0.81,1,0.74772,0.049247,0.086578,0.15069,0.77185,0.0053811,0.056148,0.02609,0.090345,9.00E+08
1,0.63,0.82,1,0.92941,0.026909,0.038971,0.12957,0.68763,0.045114,0.012886,0.0053337,0.072,9.00E+08
1,0.63,0.83,1,0.48627,0.003766,0.044694,0.22311,0.72848,0.048978,0.062684,0.0029947,0.05776,9.00E+08
1,0.63,0.84,1,0.11377,0.084838,0.0060761,0.80787,0.33174,0.035793,0.08739,0.020342,0.072009,8.00E+08
1,0.63,0.85,1,0.42776,0.07947,0.082434,0.65863,0.71578,0.058941,0.06137,0.0069781,0.089513,9.00E+08
1,0.63,0.86,1,0.56426,0.059607,0.060349,0.26972,0.47748,0.083624,0.072915,0.016155,0.096872,7.00E+08
1,0.63,0.87,1,0.12069,0.063898,0.023037,0.57769,0.59587,0.075819,0.059231,0.012083,0.094407,8.00E+08
1,0.63,0.88,1,0.60075,0.096811,0.010504,0.70706,0.77983,0.001,0.077246,0.011453,0.079841,9.00E+08
1,0.63,0.89,1,0.58927,0.047025,0.0036799,0.13519,0.7696,0.016384,0.017393,0.028323,0.095097,9.00E+08
1,0.63,0.9,1,0.87022,0.1,0.046399,0.1,0.10391,0.075783,0.1,0.001061,0.006465,8.00E+08
1,0.63,0.91,1,0.22096,0.055428,0.058485,0.35749,0.79445,0.030805,0.013119,0.011871,0.097387,9.00E+08
1,0.63,0.92,1,0.74355,0.087569,0.025628,0.93493,0.15054,0.035029,0.088246,0.087247,0.067777,8.00E+08
1,0.63,0.93,1,0.67621,0.0611,0.017846,0.80174,0.78207,0.059402,0.075548,0.039452,0.081159,8.00E+08
1,0.63,0.94,1,0.50989,0.063999,0.039989,0.39098,0.84837,0.0095658,0.09453,0.014591,0.0525,8.00E+08
1,0.63,0.95,1,0.56885,0.067295,0.015651,0.20454,0.19161,0.063294,0.015405,0.06965,0.0635,8.00E+08
1,0.64,0.75,1,0.97286,0.0635,0.081363,0.11509,0.75937,0.098441,0.1,0.022283,0.098358,9.00E+08
1,0.64,0.76,1,0.2103,0.038977,0.085229,0.4943,0.29872,0.086314,0.084248,0.04683,0.095725,8.00E+08
